WST_ID,W_DATE,SRAD,TMAX,TMIN,RAIN,TDEW,WIND,RHAVD
LLEI,2011-02-10,10.89,4.6,-2.8,3,,1.13,84.06
LLEI,2011-02-11,5.76,8.1,1.8,0,,1.29,82
LLEI,2011-02-12,9.23,6.6,-0.5,0,,2.11,76.31
LLEI,2011-02-13,5.34,4.5,-0.8,0,,1.34,70.62
LLEI,2011-02-14,3.74,7.7,0.7,5.6,,2.7,68.75
LLEI,2011-02-15,2.9,12,4.3,1.2,,0.86,82.25
LLEI,2011-02-16,8.86,8.8,1.8,5.6,,2.57,75.5
LLEI,2011-02-17,4.66,7.3,2.9,0,,3.16,78.62
LLEI,2011-02-18,10.21,9.3,-2.3,0.2,,3.03,69.19
LLEI,2011-02-19,5.09,6,-2,0.6,,1.81,81
LLEI,2011-02-20,6.19,7.7,2.5,0,,2.53,68.25
LLEI,2011-02-21,10.42,5.8,-0.3,0,,4.61,72.94
LLEI,2011-02-22,11.92,5.1,-1.6,0,,6.69,69.62
LLEI,2011-02-23,11.79,3.9,-1.6,0,,2.68,74.62
LLEI,2011-02-24,11.62,5.5,-2.3,0,,1.68,68.62
LLEI,2011-02-25,13.23,2.9,-2.7,0,,2.2,67.25
LLEI,2011-02-26,12.95,-0.3,-4.5,0,,2.16,68.38
LLEI,2011-02-27,6.74,-2.6,-6.4,0,,4.58,57.94
LLEI,2011-02-28,11.86,-1.1,-9.4,0,,3.31,66.19
LLEI,2011-03-01,7.68,4.1,-4,0.6,,2.3,60
LLEI,2011-03-02,5.55,10.2,0.3,2.6,,1.46,61.88
LLEI,2011-03-03,8.17,12.3,-1.4,2.4,,1.88,82.88
LLEI,2011-03-04,3.19,8.5,1.1,2.4,,2.64,86.88
LLEI,2011-03-05,10.77,14,2.8,0,,0.82,72.5
LLEI,2011-03-06,9.43,11.9,5,2.2,,1.21,61.31
LLEI,2011-03-07,8.91,10.7,4.8,3.6,,2.06,68.94
LLEI,2011-03-08,8.42,12.9,4.2,0.4,,4.62,75.06
LLEI,2011-03-09,5.25,14.7,4.4,0.6,,1.67,77.75
LLEI,2011-03-10,6.89,18.5,11,8.4,,1.19,78.31
LLEI,2011-03-11,11.98,18.8,9.5,0,,2.89,75.94
LLEI,2011-03-12,7.38,14.4,9.6,0.6,,3.16,92.19
LLEI,2011-03-13,7.85,12.1,7.6,5,,2.57,81.5
LLEI,2011-03-14,15.63,14.3,0.1,4.6,,5.03,88.12
LLEI,2011-03-15,6.85,13.7,8.5,1.4,,2.61,91.81
LLEI,2011-03-16,9.86,12.2,7.7,1,,3.37,81.44
LLEI,2011-03-17,3.57,7.7,4.6,0.6,,5.01,70.19
LLEI,2011-03-18,4.8,0.6,-1.4,0,,3.27,68.75
LLEI,2011-03-19,5.41,2.6,-1.1,0,,2.52,66.5
LLEI,2011-03-20,12.47,7.3,-1.4,0,,2.09,71.25
LLEI,2011-03-21,17.39,8.2,-0.9,0,,1.61,75.12
LLEI,2011-03-22,6.12,8.1,-1,0,,2.65,79.88
LLEI,2011-03-23,6.59,7.9,4.1,0,,3.88,73.56
LLEI,2011-03-24,15.36,13.7,3.7,0,,3.4,72.5
LLEI,2011-03-25,13.29,16,3.7,0,,1.6,78.12
LLEI,2011-03-26,13.6,13.4,5.9,0,,1.66,76.62
LLEI,2011-03-27,5.03,12.8,6,2.8,,2.53,75.19
LLEI,2011-03-28,6.75,13.3,6.4,8.8,,3.6,72.5
LLEI,2011-03-29,16.37,12.5,2.9,0.4,,2.82,66.5
LLEI,2011-03-30,7.07,11,3.4,3.6,,2.83,67
LLEI,2011-03-31,10.54,10.9,1,0.2,,1.88,71.19
LLEI,2011-04-01,9.92,12.5,5.5,0,,1.52,69
LLEI,2011-04-02,9.4,15.6,5.6,1.4,,3.62,68.44
LLEI,2011-04-03,7.87,17.8,9.8,2.6,,2.59,73.31
LLEI,2011-04-04,11.3,15.2,7.4,4,,2.16,72.62
LLEI,2011-04-05,12.13,11.9,7.3,0,,1.5,70.12
LLEI,2011-04-06,20.97,20,1,0.2,,1.9,62.81
LLEI,2011-04-07,17.69,21.5,8.1,1.6,,1.55,54.12
LLEI,2011-04-08,14.04,21.5,9.3,0,,1.55,43.31
LLEI,2011-04-09,3.22,12.6,10.6,14.2,,1.55,50.38
LLEI,2011-04-10,14.58,15.4,8,0.2,,3.7,55.25
LLEI,2011-04-11,17.65,18.4,4.3,0,,2.3,57.88
LLEI,2011-04-12,6.14,12.8,9.2,3.6,,2.88,54.38
LLEI,2011-04-13,15.39,18,4.6,0,,2.18,58.69
LLEI,2011-04-14,9.59,16.2,6.4,0,,2.23,64.19
LLEI,2011-04-15,14.77,18.1,6.8,0,,1.87,62.31
LLEI,2011-04-16,16.71,17.3,7.7,0.2,,1.77,65.56
LLEI,2011-04-17,23.27,23.3,3.4,0,,2.51,63.25
LLEI,2011-04-18,22.9,24.9,6.1,0,,2.71,64.44
LLEI,2011-04-19,23.94,27.7,7.8,0,,2.84,71.5
LLEI,2011-04-20,23.97,27.7,10.2,0.2,,3.49,74.31
LLEI,2011-04-21,22.78,27.9,11.4,0,,4.3,66.38
LLEI,2011-04-22,21.36,25.8,11.7,0,,3.32,80.69
LLEI,2011-04-23,15.87,19.8,14.4,0,,1.07,81.62
LLEI,2011-04-24,23.12,21.3,7.2,0,,1.94,75.62
LLEI,2011-04-25,12.93,18,9.9,1.4,,1.23,68.5
LLEI,2011-04-26,20.56,16.6,5.7,0,,1.82,62.19
LLEI,2011-04-27,22.36,20,3.2,0,,2.39,61.75
LLEI,2011-04-28,14,14.4,8.6,13.4,,1.12,69.75
LLEI,2011-04-29,5.89,13.4,8.5,9.2,,1.98,74.06
LLEI,2011-04-30,6.99,9,6,3.6,,2.24,67.56
LLEI,2011-05-01,20.37,13.6,3.6,0,,2.34,76
LLEI,2011-05-02,25.28,17.7,1.4,0,,2.39,68.38
LLEI,2011-05-03,22.77,17.1,7.5,0.2,,2.3,64.81
LLEI,2011-05-04,26.2,20.3,4.6,0,,2.88,57.88
LLEI,2011-05-05,25.74,24.4,7.5,0,,2.38,68.69
LLEI,2011-05-06,25.35,25.6,11,0,,4.63,64
LLEI,2011-05-07,27.19,25.6,8.1,0,,5.29,79.94
LLEI,2011-05-08,26.07,27.4,9.4,0,,1.05,75.81
LLEI,2011-05-09,25.21,23.7,11.2,0,,1.84,71.88
LLEI,2011-05-10,17.03,18.2,10.8,0.2,,2.61,72.06
LLEI,2011-05-11,27.77,21.6,4.1,0,,2.02,63.75
LLEI,2011-05-12,15.86,24,9.2,8.6,,1.07,63
LLEI,2011-05-13,9.92,14.3,8.8,9.8,,2.2,66.25
LLEI,2011-05-14,2.74,12.7,9.1,10,,2.93,61.25
LLEI,2011-05-15,13.14,17.7,11,0.2,,2.49,48.06
LLEI,2011-05-16,22.1,21.6,10.1,0,,1.48,58.44
LLEI,2011-05-17,21.92,19.5,10.9,0,,2.34,62.25
LLEI,2011-05-18,27.93,19.3,6.2,0,,2.44,58.5
LLEI,2011-05-19,27.96,20,6.7,0,,2.02,64.25
LLEI,2011-05-20,26.73,23.1,6.3,3.8,,1.68,48.31
LLEI,2011-05-21,24.69,24.2,8.7,0.4,,1.52,49.56
LLEI,2011-05-22,17.7,24.1,12.8,5.2,,1.02,50.25
LLEI,2011-05-23,20.49,22.3,12.6,3,,1.56,51.81
LLEI,2011-05-24,22.51,25.4,10.7,0,,1.59,46.38
LLEI,2011-05-25,20.77,26.9,11.2,8.3,,1.88,47.75
LLEI,2011-05-26,20.15,27.3,13.9,0.2,,1.95,51.44
LLEI,2011-05-27,23.66,28.4,14.4,0,,3.36,57.88
LLEI,2011-05-28,14.3,26.3,15.6,5.6,,2.77,57.94
LLEI,2011-05-29,15,24.9,15.3,2,,2.84,69.62
LLEI,2011-05-30,20.32,25.9,13,0.2,,2.95,62.94
LLEI,2011-05-31,20.79,24.1,14.2,0.2,,2.16,61.81
LLEI,2011-06-01,12.87,22.6,15.2,6.2,,3.62,42
LLEI,2011-06-02,23.57,25.4,14.6,0,,2.45,56.25
LLEI,2011-06-03,24.26,26.2,14.3,0.8,,1.49,67.56
LLEI,2011-06-04,21.58,27.9,16.4,8.2,,1.34,72.19
LLEI,2011-06-05,10.31,23.9,17.5,5.2,,1.37,62.94
LLEI,2011-06-06,16.13,27,16.8,0.4,,2.7,70.88
LLEI,2011-06-07,23.69,24.6,14.7,0.2,,1.45,81.56
LLEI,2011-06-08,25.63,27,14.3,0,,3.66,57.69
LLEI,2011-06-09,18.65,27.7,15.9,5,,2.34,63.31
LLEI,2011-06-10,14.88,27.7,15.3,2.8,,2.2,69.06
LLEI,2011-06-11,10.56,23.8,16.1,67.3,,2.77,59.5
LLEI,2011-06-12,10.66,21.9,16.1,0,,2.33,63.19
LLEI,2011-06-13,13.56,19.1,12.9,0,,2.19,65.5
LLEI,2011-06-14,18,22.6,8.4,0,,2.32,59.62
LLEI,2011-06-15,23.15,25.8,14.4,0,,2.15,56.12
LLEI,2011-06-16,24.93,24.3,13.8,0,,1.79,61.19
LLEI,2011-06-17,18.8,22.6,14.4,0,,2.59,60.25
LLEI,2011-06-18,18.83,25,15,0,,4.16,51.81
LLEI,2011-06-19,18.89,24.4,13.2,0.2,,2.91,48.06
LLEI,2011-06-20,29.52,28.9,13.5,0,,3.05,64.25
LLEI,2011-06-21,22.03,22.3,14.8,0,,4.16,57.12
LLEI,2011-06-22,28.15,22,7,0,,2.66,50.94
LLEI,2011-06-23,28.39,22.5,8.3,0,,2.34,54
LLEI,2011-06-24,26.78,23.5,11.2,0,,2.72,51.44
LLEI,2011-06-25,28.88,25.5,12.3,0,,2.12,55.06
LLEI,2011-06-26,29.73,28.1,12.4,0,,2.93,48.25
LLEI,2011-06-27,29.71,28.9,12.5,0,,3.11,50.06
LLEI,2011-06-28,29.39,27.8,14.5,0,,2.04,44
LLEI,2011-06-29,22.92,29.1,16.1,0,,4.18,49.88
LLEI,2011-06-30,26.19,32.6,17.4,0,,3.32,47.5
LLEI,2011-07-01,24.16,33.7,18.2,20.6,,2.59,46.12
LLEI,2011-07-02,22.14,28,16.3,0.2,,2.34,50.88
LLEI,2011-07-03,25.25,30.3,16.6,5.2,,3.34,67
LLEI,2011-07-04,23.92,30,17.2,1,,1.84,61.38
LLEI,2011-07-05,11.85,22.9,18.2,7.6,,1.74,50.62
LLEI,2011-07-06,28.16,28.3,15.3,0,,1.9,56.81
LLEI,2011-07-07,25.95,30.1,15.6,0,,1.7,54.62
LLEI,2011-07-08,24.13,29.8,16.7,0,,2.09,46.12
LLEI,2011-07-09,28.21,27,15.5,0,,3.2,56.19
LLEI,2011-07-10,25.24,22.9,14.9,0,,2.27,53.88
LLEI,2011-07-11,18.41,24,13.6,0,,3.14,48.88
LLEI,2011-07-12,24.37,26.1,13.9,0,,3.26,64.94
LLEI,2011-07-13,23.1,29.4,16.7,0,,5.06,53.56
LLEI,2011-07-14,25.06,31.1,15.3,0,,1.53,56
LLEI,2011-07-15,24.64,31.3,18.1,0,,1.84,58.44
LLEI,2011-07-16,24.2,31.6,14.3,0,,2.77,59.75
LLEI,2011-07-17,23.51,27.6,15.8,0,,4.81,54.25
LLEI,2011-07-18,25.18,29.4,15.2,0,,3.82,51.88
LLEI,2011-07-19,24.18,30.7,14.6,2.2,,6.43,53.88
LLEI,2011-07-20,17.08,27,18.1,0.2,,3.86,53.25
LLEI,2011-07-21,24.76,27,15.1,0,,2.33,56.62
LLEI,2011-07-22,22.8,28.4,15.7,0,,2.73,52.62
LLEI,2011-07-23,24.69,31.3,15.5,0,,4.43,45.38
LLEI,2011-07-24,20.79,32.6,16.2,0,,3.46,47.56
LLEI,2011-07-25,23.65,33.6,17.8,0,,5.34,57.25
LLEI,2011-07-26,24.27,36,18.3,0,,4.41,55.94
LLEI,2011-07-27,21.2,36.5,18.5,25.3,,1.8,57.12
LLEI,2011-07-28,22.02,26,18.5,0,,2.01,57.69
LLEI,2011-07-29,22.35,28.4,16.8,0,,2.08,60
LLEI,2011-07-30,21.2,29.1,17.8,0,,1.68,56.69
LLEI,2011-07-31,22.74,29.3,18.4,0,,1.91,57.44
LLEI,2011-08-01,22.18,31,17.5,0,,3.84,66.94
LLEI,2011-08-02,25.73,33,16.9,0,,3.73,58.81
LLEI,2011-08-03,25.61,35.7,19,0,,2.22,55
LLEI,2011-08-04,25.51,33.2,19.1,0,,2.1,53.81
LLEI,2011-08-05,25.57,31.9,18.3,0,,3.44,69.31
LLEI,2011-08-06,26.21,34.7,15.8,0,,2.66,60.19
LLEI,2011-08-07,22.17,37,16.9,0,,2.12,56.62
LLEI,2011-08-08,17.46,27.5,18.5,2.4,,4.02,45.56
LLEI,2011-08-09,7.47,22.6,16.6,4,,2.83,40.69
LLEI,2011-08-10,21.7,22.6,12.5,0,,2.02,53.88
LLEI,2011-08-11,21.24,25.8,12.6,0,,2.41,62.44
LLEI,2011-08-12,23.86,31.8,11.2,1.4,,2.51,61.25
LLEI,2011-08-13,16.8,25.1,17.1,0.2,,2.17,56
LLEI,2011-08-14,14.15,25.2,14.3,0,,2.35,49.69
LLEI,2011-08-15,18.39,26.3,12.5,0,,2.17,55.06
LLEI,2011-08-16,24.04,32,13.7,3.2,,2.6,54.06
LLEI,2011-08-17,21.7,25.2,16.2,0,,4.05,59.69
LLEI,2011-08-18,23.81,26.3,12.4,0,,3.42,55.25
LLEI,2011-08-19,22.89,29.1,12.5,0,,2.45,52.69
LLEI,2011-08-20,11.43,25.4,16,0,,2.66,43.06
LLEI,2011-08-21,17.03,28.1,14.4,0,,2.89,36.62
LLEI,2011-08-22,21.98,31,14.8,0,,3.72,39.62
LLEI,2011-08-23,20.15,30.1,15.9,1.6,,1.94,47.69
LLEI,2011-08-24,14.39,21.6,13.6,0.4,,2.27,60.69
LLEI,2011-08-25,17.22,21,12.6,0,,2.95,62.69
LLEI,2011-08-26,18.7,24.4,5.7,0,,3.7,50.69
LLEI,2011-08-27,12.48,25.1,16.7,0.6,,2.9,40.88
LLEI,2011-08-28,20.76,27.7,9.9,0.6,,2.3,63.19
LLEI,2011-08-29,8.2,23.8,16.5,1.6,,2.69,63.12
LLEI,2011-08-30,10.42,22.2,11.9,0,,2.4,63.5
LLEI,2011-08-31,17.17,23.2,14.6,0,,3.41,66.56
LLEI,2011-09-01,21.4,23.8,8.6,0,,3.09,65.56
LLEI,2011-09-02,20.97,25.5,8.9,0,,1.87,57.38
LLEI,2011-09-03,13.09,23.9,11.8,0,,2.17,63.25
LLEI,2011-09-04,13.22,25.5,12.4,0,,2.12,55.75
LLEI,2011-09-05,13.97,26.3,16.2,0,,2.69,52.75
LLEI,2011-09-06,10.18,23.1,16.7,0,,1.77,55.5
LLEI,2011-09-07,13.86,21.4,11.1,0.4,,2.31,46.5
LLEI,2011-09-08,19.3,25,8.7,0,,1.69,53.12
LLEI,2011-09-09,18.99,30.3,8.3,0,,2.53,67.19
LLEI,2011-09-10,16.55,27.2,13.1,0,,3.95,63.75
LLEI,2011-09-11,19.58,30.5,9.1,0,,2.29,53.31
LLEI,2011-09-12,18.32,29.5,11.2,0,,1.48,56.31
LLEI,2011-09-13,5.54,19.6,15.9,0,,1.67,62.75
LLEI,2011-09-14,16.07,23.3,14,0,,2.08,59.5
LLEI,2011-09-15,18.23,22.5,7.4,0,,2.55,64.88
LLEI,2011-09-16,16.82,25.5,7.3,0,,2.24,65.94
LLEI,2011-09-17,18.38,30.4,8.1,0,,1.84,70.94
LLEI,2011-09-18,10.64,26.4,14.4,0,,5.51,53.75
LLEI,2011-09-19,16.26,27.2,15,0.2,,4.16,55.56
LLEI,2011-09-20,15.91,26.9,12.7,0,,1.62,58.81
LLEI,2011-09-21,11.31,19.5,12.8,7.4,,1.52,69.88
LLEI,2011-09-22,9.66,20.3,8.7,0,,1.27,68.75
LLEI,2011-09-23,4.78,22.6,12.9,5.4,,2.22,72.69
LLEI,2011-09-24,15.54,17.6,6.5,0.2,,2.23,75.94
LLEI,2011-09-25,17.26,17.2,4.7,0,,1.27,67.62
LLEI,2011-09-26,16.98,20.3,4.3,0,,1.34,65.38
LLEI,2011-09-27,16.11,25.8,5.2,0,,1.32,57.19
LLEI,2011-09-28,13.61,22.9,9.3,0.2,,1.73,56.75
LLEI,2011-09-29,16.18,18.9,8,0,,2.26,58.19
LLEI,2011-09-30,15.04,19.5,4.2,0,,1.78,59.19
LLEI,2011-10-01,12.19,16.4,10.2,0,,1.79,62.19
LLEI,2011-10-02,4.4,15.1,7.6,0,,0.84,50.81
LLEI,2011-10-03,7.76,19.7,13.5,0.2,,1.11,33.88
LLEI,2011-10-04,14.67,20.6,5.7,0,,1.21,38.12
LLEI,2011-10-05,14.63,26.2,4.7,0,,1.27,41.25
LLEI,2011-10-06,13.05,26.2,8.9,2.6,,1.65,54.19
LLEI,2011-10-07,5.11,18,12.7,0.2,,4.27,56.75
LLEI,2011-10-08,13.13,19.3,7.4,0.2,,3.55,52.56
LLEI,2011-10-09,12.14,23.2,7.3,0.2,,2.48,52.88
LLEI,2011-10-10,12.12,25.9,7.9,6.8,,1.91,49.81
LLEI,2011-10-11,11.28,25.4,14.8,1.6,,1.38,39.75
LLEI,2011-10-12,10.5,26.1,15.4,0.2,,1.77,40.19
LLEI,2011-10-13,11.86,26.5,13.4,0,,2.01,53.38
LLEI,2011-10-14,10.41,26.4,14.7,0,,1.6,70.62
LLEI,2011-10-15,11.57,26.2,14.3,0,,2.27,72.38
LLEI,2011-10-16,11.31,25.2,12.7,0,,1.5,68.38
LLEI,2011-10-17,9.42,23.1,10.7,0,,1.63,70.75
LLEI,2011-10-18,10.3,23.1,10.9,0.2,,1.07,66.56
LLEI,2011-10-19,10.45,21.2,9,0.2,,2.05,68.31
LLEI,2011-10-20,10.5,19.6,7.7,0,,2.01,51.12
LLEI,2011-10-21,11.04,19.6,3.5,0.2,,1.4,57.38
LLEI,2011-10-22,3.85,15.4,5.4,0,,1.81,76.56
LLEI,2011-10-23,10.04,17.2,2.7,0,,2.93,82.12
LLEI,2011-10-24,2.67,14.1,6.8,0,,3.05,87.19
LLEI,2011-10-25,8.57,17.4,11.4,0.2,,2.98,66.69
LLEI,2011-10-26,4.27,13.5,4.5,0,,1.98,63.5
LLEI,2011-10-27,7.89,10.7,2.9,0.2,,2.78,91.56
LLEI,2011-10-28,3.34,8.5,3.2,0,,1.13,84
LLEI,2011-10-29,1.46,6.7,4.7,8.4,,1.08,83.5
LLEI,2011-10-30,4.71,10.8,2,2.4,,1.46,79.5
LLEI,2011-10-31,3.01,12.5,1.8,1,,1.71,84.81
LLEI,2011-11-01,3.31,14,9.2,2.4,,1.26,82.44
LLEI,2011-11-02,7,12,7,0,,3.75,84.31
LLEI,2011-11-03,8.34,11.5,-0.5,0.4,,3.53,87.38
LLEI,2011-11-04,6.86,12,1.3,0.2,,2.16,86.19
LLEI,2011-11-05,6.94,18.3,6.7,0,,2.49,82.5
LLEI,2011-11-06,6.04,19,11.8,0,,4.74,79.12
LLEI,2011-11-07,2.12,12.8,8.3,2.6,,1.53,82.31
LLEI,2011-11-08,6.63,13.2,5.2,0,,1.96,80.38
LLEI,2011-11-09,6.29,16.8,2.7,2.2,,1.16,76.31
LLEI,2011-11-10,1.36,13.3,10.5,4.6,,1.01,80.12
LLEI,2011-11-11,2.39,15.5,10.4,7.4,,0.98,83.12
LLEI,2011-11-12,2.19,12.1,10.3,2.6,,2.61,87.44
LLEI,2011-11-13,6.23,14.8,9.6,0.2,,3.12,86
LLEI,2011-11-14,6.93,14.2,4.2,0.2,,3.69,86.81
LLEI,2011-11-15,2.13,11.9,6.5,0.2,,2.01,93.69
LLEI,2011-11-16,1.29,8.2,5.8,0,,1.67,78.81
LLEI,2011-11-17,6.25,6.7,1.2,0,,0.75,81.5
LLEI,2011-11-18,6.87,7.7,0.5,0,,1.43,89.69
LLEI,2011-11-19,4.78,6.3,-0.7,0.4,,2.48,86.69
LLEI,2011-11-20,1.05,3.3,1,0.6,,2.8,92.25
LLEI,2011-11-21,5.43,3.4,-3.6,0.2,,2.36,87.19
LLEI,2011-11-22,1.44,5.5,1,3.2,,1.45,85.5
LLEI,2011-11-23,2.06,8.3,3.2,8.4,,1.62,74.94
LLEI,2011-11-24,1.88,9.3,4.9,2,,1.01,77
LLEI,2011-11-25,1.72,8.4,4.5,3,,1.34,81.06
LLEI,2011-11-26,1.03,7.1,6.1,0.6,,1.76,72.88
LLEI,2011-11-27,3.71,8.5,5.3,12.2,,0.72,82.12
LLEI,2011-11-28,1.49,11.4,6.4,0.4,,0.98,80.94
LLEI,2011-11-29,2.83,15.1,9.2,1.2,,1.13,84.5
LLEI,2011-11-30,3.42,12.6,9,0.2,,1,77.5
LLEI,2011-12-01,1.55,13,6,12.2,,1.1,89.25
LLEI,2011-12-02,1.76,15,9.7,2.2,,1.52,86.5
LLEI,2011-12-03,1.31,14.5,10.1,10.9,,2.21,74.75
LLEI,2011-12-04,2.75,11.6,9.6,0,,3.02,79
LLEI,2011-12-05,2.88,12.2,6.2,6.2,,4.09,85.88
LLEI,2011-12-06,2.4,13.5,10.6,0.2,,4.35,83.88
LLEI,2011-12-07,1.64,12.6,8,4.2,,3.2,81.62
LLEI,2011-12-08,1.88,12.1,6.4,5.4,,1.26,74
LLEI,2011-12-09,2.71,10.6,8.4,6,,0.62,79.19
LLEI,2011-12-10,3.67,10,5.6,0.2,,1.45,85.25
LLEI,2011-12-11,3.17,6.4,2.5,0,,1.77,89.25
LLEI,2011-12-12,4.66,3.8,-1.6,0,,3.18,85.06
LLEI,2011-12-13,5.3,3.1,-1.2,0,,2.69,82.69
LLEI,2011-12-14,4.4,2.3,-3.1,0,,2.43,81.25
LLEI,2011-12-15,1.81,4.8,-0.8,12,,2.99,77.5
LLEI,2011-12-16,1.53,8.5,0.9,1,,5.2,72.44
LLEI,2011-12-17,3.73,8.4,4.7,0,,6.18,75.62
LLEI,2011-12-18,3.7,9,2.3,3.4,,3.99,75.69
LLEI,2011-12-19,2.67,10.5,6.9,0.2,,4.26,87.06
LLEI,2011-12-20,3.03,11.6,7.2,3.4,,5.07,84.75
LLEI,2011-12-21,1.32,14,8,6.2,,5.08,84.75
LLEI,2011-12-22,2.8,12.7,10.5,0.2,,3.48,80
LLEI,2011-12-23,1,13.4,8.6,4.4,,2.86,83.69
LLEI,2011-12-24,2.03,8.9,5.6,0.2,,2.59,66.12
LLEI,2011-12-25,5.38,5.6,-1.1,0.2,,1.07,59.5
LLEI,2011-12-26,4.32,-0.9,-2.7,0,,0.64,67.25
LLEI,2011-12-27,2.15,2.4,-2.8,0.2,,0.9,71.38
LLEI,2011-12-28,1.26,1,-0.2,0,,1.78,76.5
LLEI,2011-12-29,1.23,4.7,-0.1,0,,3.02,68.88
LLEI,2011-12-30,1.29,6,3.1,0.4,,5.12,83.38
LLEI,2011-12-31,1.13,8.9,5.3,0,,4.34,83.88
LLEI,2012-01-01,0.67,7.6,6.4,0,,1.88,87.88
LLEI,2012-01-02,2.77,6.8,3.8,0,,4.46,79.06
LLEI,2012-01-03,2.83,6.2,0.5,0.2,,2.64,81.75
LLEI,2012-01-04,3.62,6.6,0.3,0,,4.1,81.81
LLEI,2012-01-05,1.16,5.4,2.9,0,,6.2,78.06
LLEI,2012-01-06,0.79,4.4,3.1,0,,4.66,66.31
LLEI,2012-01-07,1.58,7.7,3.6,0.6,,2.45,76.25
LLEI,2012-01-08,3.51,9.5,5.8,0,,2.24,78.81
LLEI,2012-01-09,2.82,5.4,2.5,0.8,,1.53,77.75
LLEI,2012-01-10,2.98,3.4,0,0,,0.87,79.38
LLEI,2012-01-11,1.43,6.2,-0.2,1.4,,0.98,78.75
LLEI,2012-01-12,1.56,9.1,4.8,0.8,,0.84,85.81
LLEI,2012-01-13,1.84,10.9,6.9,0.4,,1.91,86.19
LLEI,2012-01-14,2.69,9,6.5,0.2,,1.4,83.69
LLEI,2012-01-15,2.29,8.5,5.2,0,,0.82,81.81
LLEI,2012-01-16,5.27,7.3,-0.9,1.4,,1.89,89.12
LLEI,2012-01-17,3.47,7.9,3.8,1.6,,1.23,79.75
LLEI,2012-01-18,6.16,5.7,-2.2,0.2,,1.43,79.75
LLEI,2012-01-19,2.54,2.2,-3.5,6.8,,1.77,87.56
LLEI,2012-01-20,1.16,3.1,1.6,0,,3.48,82.81
LLEI,2012-01-21,7.02,2.9,-3.2,0.2,,3.16,80.88
LLEI,2012-01-22,1.98,1.4,-2.6,6,,2.55,77
LLEI,2012-01-23,2.24,1.4,0.5,1,,2.03,77.19
LLEI,2012-01-24,3.33,1.2,-1.5,3,,1.84,76.19
LLEI,2012-01-25,2.65,6.9,0,1.2,,1.12,70.81
LLEI,2012-01-26,2.92,9,2.8,1.6,,0.97,71.88
LLEI,2012-01-27,2.25,7.7,3.4,4.4,,1.06,88.38
